mouse,session,session_date,total_trials,participated_trials,participation_rate,hits,misses,no_responses,hit_rate,miss_rate,false_alarm_rate,correct_rejection_rate,reward_rate,punishment_rate,n_false_alarms_total,mean_latency,median_latency,mean_activity_level,performance_score,crossed_criterion
m103,5,2025-11-18,61,21,34.42622950819672,19,2,40,31.147540983606557,3.278688524590164,65.57377049180327,34.42622950819672,31.147540983606557,65.57377049180327,104,3.3375797271728516,2.85516095161438,20.524590163934427,90.47619047619048,True
m103,6,2025-11-19,61,10,16.39344262295082,9,1,51,14.754098360655737,1.639344262295082,49.18032786885246,50.81967213114754,14.754098360655737,49.18032786885246,61,2.5529131174087523,1.860032081604004,9.163934426229508,90.0,True
m103,7,2025-11-23,61,19,31.147540983606557,7,12,42,11.475409836065573,19.672131147540984,60.65573770491803,39.34426229508197,11.475409836065573,60.65573770491803,85,3.8321823320890727,3.424520969390869,7.311475409836065,36.8421052631579,False
m103,8,2025-11-25,61,11,18.0327868852459,8,3,50,13.114754098360656,4.918032786885246,54.09836065573771,45.90163934426229,13.114754098360656,54.09836065573771,74,3.263899651440707,3.6610910892486572,8.163934426229508,72.72727272727273,True
m103,9,2025-12-02,61,14,22.950819672131146,11,3,47,18.0327868852459,4.918032786885246,40.98360655737705,59.01639344262295,18.0327868852459,40.98360655737705,55,3.548973185675485,3.2264150381088257,8.704918032786885,78.57142857142857,True
m103,10,2025-12-07,61,9,14.754098360655737,8,1,52,13.114754098360656,1.639344262295082,45.90163934426229,54.09836065573771,13.114754098360656,45.90163934426229,57,3.3926850159962973,3.833134174346924,4.836065573770492,88.88888888888889,True
m103,11,2025-12-09,61,9,14.754098360655737,4,5,52,6.557377049180328,8.19672131147541,36.0655737704918,63.9344262295082,6.557377049180328,36.0655737704918,42,2.8184020254347057,2.309509038925171,3.360655737704918,44.44444444444444,False
m103,12,2025-12-16,61,27,44.26229508196721,22,5,34,36.0655737704918,8.19672131147541,78.68852459016394,21.311475409836067,36.0655737704918,78.68852459016394,175,4.2166004534120916,4.575076103210449,22.80327868852459,81.48148148148148,True
m104,1,2025-11-09,60,5,8.333333333333334,2,3,55,3.3333333333333335,5.0,23.333333333333332,76.66666666666667,3.3333333333333335,23.333333333333332,46,2.8279227733612062,1.6741108894348145,9.3,40.0,False
m104,2,2025-11-10,60,20,33.333333333333336,16,4,40,26.666666666666668,6.666666666666667,61.666666666666664,38.333333333333336,26.666666666666668,61.666666666666664,127,4.211794269084931,3.559669017791748,16.3,80.0,True
m104,3,2025-11-16,60,13,21.666666666666668,9,4,47,15.0,6.666666666666667,66.66666666666667,33.333333333333336,15.0,66.66666666666667,107,4.6064851467426005,5.620152950286865,7.266666666666667,69.23076923076923,False
m104,4,2025-11-18,60,14,23.333333333333332,11,3,46,18.333333333333332,5.0,51.666666666666664,48.333333333333336,18.333333333333332,51.666666666666664,136,4.338118757520403,4.204527854919434,12.683333333333334,78.57142857142857,True
m104,5,2025-11-19,60,13,21.666666666666668,12,1,47,20.0,1.6666666666666667,53.333333333333336,46.666666666666664,20.0,53.333333333333336,85,4.008837838967641,4.950786471366882,12.516666666666667,92.3076923076923,True
m104,6,2025-11-23,60,7,11.666666666666666,3,4,53,5.0,6.666666666666667,55.0,45.0,5.0,55.0,92,4.579692159380231,5.350611925125122,5.933333333333334,42.857142857142854,False
m104,7,2025-11-25,60,11,18.333333333333332,9,2,49,15.0,3.3333333333333335,53.333333333333336,46.666666666666664,15.0,53.333333333333336,93,4.365288691087202,4.707608938217163,7.55,81.81818181818181,True
m104,8,2025-12-02,60,8,13.333333333333334,5,3,52,8.333333333333334,5.0,60.0,40.0,8.333333333333334,60.0,100,3.9595802426338196,3.6659926176071167,8.066666666666666,62.5,False
m104,9,2025-12-07,60,15,25.0,3,12,45,5.0,20.0,63.333333333333336,36.666666666666664,5.0,63.333333333333336,100,4.237428983052571,4.345736026763916,5.45,20.0,False
m104,10,2025-12-09,60,20,33.333333333333336,13,7,40,21.666666666666668,11.666666666666666,61.666666666666664,38.333333333333336,21.666666666666668,61.666666666666664,90,4.135779166221619,4.185407638549805,9.483333333333333,65.0,False
m104,11,2025-12-16,60,21,35.0,17,4,39,28.333333333333332,6.666666666666667,73.33333333333333,26.666666666666668,28.333333333333332,73.33333333333333,134,3.752310582569667,4.1024580001831055,17.1,80.95238095238095,True
m104,12,2025-12-17,60,15,25.0,7,8,45,11.666666666666666,13.333333333333334,68.33333333333333,31.666666666666668,11.666666666666666,68.33333333333333,100,4.068800656000773,4.2282609939575195,4.516666666666667,46.666666666666664,False
m90,1,2025-11-09,60,20,33.333333333333336,13,7,40,21.666666666666668,11.666666666666666,83.33333333333333,16.666666666666668,21.666666666666668,83.33333333333333,120,3.310110878944397,2.432898998260498,19.033333333333335,65.0,False
m90,2,2025-11-11,60,23,38.333333333333336,19,4,37,31.666666666666668,6.666666666666667,76.66666666666667,23.333333333333332,31.666666666666668,76.66666666666667,102,3.75043713528177,4.181869983673096,16.15,82.6086956521739,True
m90,3,2025-11-12,60,14,23.333333333333332,10,4,46,16.666666666666668,6.666666666666667,50.0,50.0,16.666666666666668,50.0,51,2.5594114576067244,2.1459195613861084,6.483333333333333,71.42857142857143,True
m90,4,2025-11-13,60,8,13.333333333333334,7,1,52,11.666666666666666,1.6666666666666667,43.333333333333336,56.666666666666664,11.666666666666666,43.333333333333336,33,5.312779575586319,5.531358957290649,5.266666666666667,87.5,True
m90,5,2025-11-16,60,13,21.666666666666668,11,2,47,18.333333333333332,3.3333333333333335,48.333333333333336,51.666666666666664,18.333333333333332,48.333333333333336,57,3.8533266140864444,4.650606155395508,8.083333333333334,84.61538461538461,True
m90,6,2025-11-18,60,23,38.333333333333336,22,1,37,36.666666666666664,1.6666666666666667,76.66666666666667,23.333333333333332,36.666666666666664,76.66666666666667,160,3.4305514874665635,3.204324960708618,25.05,95.65217391304348,True
m90,7,2025-11-19,60,30,50.0,27,3,30,45.0,5.0,88.33333333333333,11.666666666666666,45.0,88.33333333333333,179,3.0566311200459797,2.5634000301361084,26.166666666666668,90.0,True
m90,8,2025-11-23,60,22,36.666666666666664,16,6,38,26.666666666666668,10.0,63.333333333333336,36.666666666666664,26.666666666666668,63.333333333333336,83,4.166884010488337,4.075909495353699,11.483333333333333,72.72727272727273,True
m90,9,2025-11-26,61,20,32.78688524590164,16,4,41,26.229508196721312,6.557377049180328,52.459016393442624,47.540983606557376,26.229508196721312,52.459016393442624,61,4.069621148862336,5.289772033691406,9.639344262295081,80.0,True
m90,10,2025-12-02,60,27,45.0,26,1,33,43.333333333333336,1.6666666666666667,86.66666666666667,13.333333333333334,43.333333333333336,86.66666666666667,147,2.7470881144205728,1.5449879169464111,20.716666666666665,96.29629629629629,True
m90,11,2025-12-07,60,13,21.666666666666668,7,6,47,11.666666666666666,10.0,46.666666666666664,53.333333333333336,11.666666666666666,46.666666666666664,39,4.048478713402381,4.5831298828125,3.6333333333333333,53.84615384615385,False
m90,12,2025-12-09,60,15,25.0,11,4,45,18.333333333333332,6.666666666666667,61.666666666666664,38.333333333333336,18.333333333333332,61.666666666666664,61,3.479996188481649,3.6675429344177246,7.816666666666666,73.33333333333333,True
m90,13,2025-12-16,60,18,30.0,15,3,42,25.0,5.0,71.66666666666667,28.333333333333332,25.0,71.66666666666667,128,4.1911720107583434,3.987416982650757,40.6,83.33333333333333,True
m92,1,2025-11-09,60,10,16.666666666666668,9,1,50,15.0,1.6666666666666667,63.333333333333336,36.666666666666664,15.0,63.333333333333336,77,4.842822623252869,5.357423543930054,18.95,90.0,True
m92,2,2025-11-11,60,7,11.666666666666666,2,5,53,3.3333333333333335,8.333333333333334,33.333333333333336,66.66666666666667,3.3333333333333335,33.333333333333336,39,2.9215313366481235,3.433396816253662,3.3666666666666667,28.571428571428573,False
m92,3,2025-11-12,60,4,6.666666666666667,1,3,56,1.6666666666666667,5.0,28.333333333333332,71.66666666666667,1.6666666666666667,28.333333333333332,25,2.714179515838623,2.694935441017151,2.05,25.0,False
m92,4,2025-11-13,60,7,11.666666666666666,7,0,53,11.666666666666666,0.0,45.0,55.0,11.666666666666666,45.0,52,2.715759890420096,1.8433549404144287,6.75,100.0,False
m92,5,2025-11-16,60,1,1.6666666666666667,0,1,59,0.0,1.6666666666666667,11.666666666666666,88.33333333333333,0.0,11.666666666666666,12,1.3341479301452637,1.3341479301452637,0.5166666666666667,0.0,False
m92,6,2025-11-18,60,9,15.0,3,6,51,5.0,10.0,43.333333333333336,56.666666666666664,5.0,43.333333333333336,76,2.692271100150214,1.8324029445648193,4.966666666666667,33.333333333333336,False
m92,7,2025-11-19,62,13,20.967741935483872,8,5,49,12.903225806451612,8.064516129032258,53.225806451612904,46.774193548387096,12.903225806451612,53.225806451612904,77,3.375967721144358,3.013811945915222,9.403225806451612,61.53846153846154,False
m92,8,2025-11-24,60,20,33.333333333333336,9,11,40,15.0,18.333333333333332,55.0,45.0,15.0,55.0,85,3.6735187649726866,3.4856737852096558,14.716666666666667,45.0,False
m92,9,2025-12-02,60,16,26.666666666666668,9,7,44,15.0,11.666666666666666,68.33333333333333,31.666666666666668,15.0,68.33333333333333,165,4.1715148985385895,4.4644999504089355,18.4,56.25,False
