task,mouse,session,n_trials,on_pokes,off_pokes,on_licks,off_licks,mean_oncue_share,poke_oncue_share,lick_oncue_share,on_off_ratio
AppetitveTaskReal,m102,1,61,27,278,188,1140,11.742203006792614,8.852459016393443,14.156626506024097,0.15162200282087446
AppetitveTaskReal,m102,2,61,27,268,259,1357,11.943349067074207,9.152542372881356,16.027227722772277,0.176
AppetitveTaskReal,m102,3,61,13,171,142,774,12.894955159653094,7.065217391304348,15.502183406113538,0.164021164021164
AppetitveTaskReal,m102,4,61,23,222,212,854,15.72275114631338,9.387755102040817,19.887429643527206,0.2184014869888476
AppetitveTaskReal,m102,5,61,20,146,192,689,18.169824445264737,12.048192771084338,21.793416572077184,0.25389221556886227
AppetitveTaskReal,m102,6,61,25,172,224,752,20.987883436838054,12.690355329949238,22.950819672131146,0.2694805194805195
AppetitveTaskReal,m102,7,61,31,147,253,411,36.466665237469265,17.415730337078653,38.102409638554214,0.5089605734767025
AppetitveTaskReal,m102,8,61,22,114,154,490,21.274697021534717,16.176470588235293,23.91304347826087,0.2913907284768212
AppetitveTaskReal,m102,9,61,40,342,288,886,23.63151934513233,10.471204188481675,24.531516183986373,0.2671009771986971
AppetitveTaskReal,m102,10,61,27,229,189,691,21.33532959105668,10.546875,21.477272727272727,0.23478260869565218
AppetitveTaskReal,m102,11,61,38,389,134,686,17.533024672123396,8.899297423887587,16.341463414634145,0.16
AppetitveTaskReal,m103,1,61,21,126,100,596,12.980426728648254,14.285714285714286,14.367816091954023,0.16759002770083103
AppetitveTaskReal,m103,2,61,21,123,112,738,10.512130801755902,14.583333333333334,13.176470588235293,0.15447154471544716
AppetitveTaskReal,m103,3,61,16,133,116,982,10.695585272255464,10.738255033557047,10.564663023679417,0.11838565022421525
AppetitveTaskReal,m103,4,61,20,115,107,319,14.670362670362671,14.814814814814815,25.11737089201878,0.2926267281105991
AppetitveTaskReal,m103,5,61,21,107,208,916,22.640057038323018,16.40625,18.505338078291814,0.2238514173998045
AppetitveTaskReal,m103,6,61,12,63,104,380,16.68199849629887,16.0,21.487603305785125,0.2618510158013544
AppetitveTaskReal,m103,7,61,19,85,69,273,21.37562224926776,18.26923076923077,20.17543859649123,0.24581005586592178
AppetitveTaskReal,m103,8,61,15,75,87,321,20.326054370375697,16.666666666666668,21.323529411764707,0.25757575757575757
AppetitveTaskReal,m103,9,61,16,57,103,355,24.677418859036763,21.91780821917808,22.489082969432314,0.28883495145631066
AppetitveTaskReal,m103,10,61,11,58,50,176,14.703481475303105,15.942028985507246,22.123893805309734,0.2606837606837607
AppetitveTaskReal,m103,11,61,15,42,34,114,25.788722771481392,26.31578947368421,22.972972972972972,0.3141025641025641
AppetitveTaskReal,m103,12,61,30,183,266,912,22.336259955827074,14.084507042253522,22.580645161290324,0.27031963470319637
AppetitveTaskReal,m104,1,60,8,48,64,438,17.2315076141147,14.285714285714286,12.749003984063744,0.14814814814814814
AppetitveTaskReal,m104,2,60,21,133,148,676,21.11360404566052,13.636363636363637,17.961165048543688,0.2088998763906057
AppetitveTaskReal,m104,3,60,18,110,34,274,11.259292431706225,14.0625,11.03896103896104,0.13541666666666666
AppetitveTaskReal,m104,4,60,16,141,70,534,13.567670771145876,10.19108280254777,11.589403973509933,0.1274074074074074
AppetitveTaskReal,m104,5,60,15,94,92,550,12.761508960473883,13.761467889908257,14.330218068535826,0.16614906832298137
AppetitveTaskReal,m104,6,60,8,94,26,228,9.054100086708782,7.8431372549019605,10.236220472440944,0.10559006211180125
AppetitveTaskReal,m104,7,60,12,95,56,290,14.685279495062105,11.214953271028037,16.184971098265898,0.17662337662337663
AppetitveTaskReal,m104,8,60,9,105,58,312,10.62628656977107,7.894736842105263,15.675675675675675,0.1606714628297362
AppetitveTaskReal,m104,9,60,19,102,34,172,15.525877917518786,15.702479338842975,16.50485436893204,0.19343065693430658
AppetitveTaskReal,m104,10,60,23,98,115,333,23.709791840146796,19.00826446280992,25.669642857142858,0.32018561484918795
AppetitveTaskReal,m104,11,60,21,139,206,660,20.469097487975883,13.125,23.787528868360276,0.28410513141426785
AppetitveTaskReal,m104,12,60,18,101,26,126,15.46085697248488,15.126050420168067,17.105263157894736,0.19383259911894274
